Position,Company,Location,URL
NodeJs/Nestjs 서버 개발 및 표준화 연구,(주)엠오브에스,서울강남구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45952957&location=ts&searchword=nestjs&searchType=search&paid_fl=n&search_uuid=c60b6c51-9bcd-481e-8159-c63247843ed0
[IT] 백엔드 SW개발 (전자차트),(주)덴티움,경기전체,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=44095871&location=ts&searchword=nestjs&searchType=search&paid_fl=n&search_uuid=c60b6c51-9bcd-481e-8159-c63247843ed0
[IT] 풀스택 개발자 (전자차트/클라우드플랫폼),(주)덴티움,경기전체,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45054643&location=ts&searchword=nestjs&searchType=search&paid_fl=n&search_uuid=c60b6c51-9bcd-481e-8159-c63247843ed0
[아프리카TV] Global 스트리밍 플랫폼 멤버십/빌링 개발,(주)아프리카티비,경기전체,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45918501&location=ts&searchword=nestjs&searchType=search&paid_fl=n&search_uuid=c60b6c51-9bcd-481e-8159-c63247843ed0
[IT] 백엔드 SW개발 (클라우드 플랫폼),(주)덴티움,경기전체,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=43562142&location=ts&searchword=nestjs&searchType=search&paid_fl=n&search_uuid=c60b6c51-9bcd-481e-8159-c63247843ed0
[아프리카TV] Global 스트리밍 플랫폼 Back-end 개발,(주)아프리카티비,경기전체,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45918404&location=ts&searchword=nestjs&searchType=search&paid_fl=n&search_uuid=c60b6c51-9bcd-481e-8159-c63247843ed0
[덴티움] IT 백엔드 S/W개발자 모집,㈜덴티움,경기수원시 영통구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46181046&location=ts&searchword=nestjs&searchType=search&paid_fl=n&search_uuid=c60b6c51-9bcd-481e-8159-c63247843ed0
[토스페이먼츠] Node.js Developer,(주)비바리퍼블리카,서울강남구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46242004&location=ts&searchword=nestjs&searchType=search&paid_fl=n&search_uuid=c60b6c51-9bcd-481e-8159-c63247843ed0
Spring/Node 백엔드 개발자 모집,(주)네비웍스,경기전체,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46207646&location=ts&searchword=nestjs&searchType=search&paid_fl=n&search_uuid=c60b6c51-9bcd-481e-8159-c63247843ed0
스마트팩토리 구축 웹 풀스택 개발자,(주)휴템,서울전체,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45744427&location=ts&searchword=nestjs&searchType=search&paid_fl=n&search_uuid=c60b6c51-9bcd-481e-8159-c63247843ed0
아몬즈(amondz) 백엔드 개발자 (3년 이상),(주)비주얼,서울성동구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46085838&location=ts&searchword=nestjs&searchType=search&paid_fl=n&search_uuid=c60b6c51-9bcd-481e-8159-c63247843ed0
[기후테크] 백엔드 개발자 (신입/경력),(주)이에이엔테크놀로지,서울강남구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46069112&location=ts&searchword=nestjs&searchType=search&paid_fl=n&search_uuid=c60b6c51-9bcd-481e-8159-c63247843ed0
[경력/1~3년] 주얼리 플랫폼 '아몬즈' 백엔드 주니어급 개발자,(주)비주얼,서울성동구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46140789&location=ts&searchword=nestjs&searchType=search&paid_fl=n&search_uuid=c60b6c51-9bcd-481e-8159-c63247843ed0
[8년이상] 주얼리 쇼핑 플랫폼 '아몬즈' 백엔드 시니어 개발자,(주)비주얼,서울성동구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46263269&location=ts&searchword=nestjs&searchType=search&paid_fl=n&search_uuid=c60b6c51-9bcd-481e-8159-c63247843ed0
[경력/3-7년] 주얼리 쇼핑 플랫폼 '아몬즈' 백엔드 개발자,(주)비주얼,서울성동구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46263320&location=ts&searchword=nestjs&searchType=search&paid_fl=n&search_uuid=c60b6c51-9bcd-481e-8159-c63247843ed0
[기후테크 기업] 탄소중립 IT 프로덕트 프론트/백엔드 개발자,(주)이에이엔테크놀로지,서울강남구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46293886&location=ts&searchword=nestjs&searchType=search&paid_fl=n&search_uuid=c60b6c51-9bcd-481e-8159-c63247843ed0
